index,ninety_percentile,geoid
0,48.0,31109
1,61.0,46099
2,9.0,39063
3,50.0,01027
4,60.0,39003
5,64.0,55111
6,33.0,41063
7,68.0,42007
8,56.0,40001
9,71.0,39085
10,50.0,51775
11,60.0,47065
12,36.0,56023
13,61.0,22019
14,55.0,40135
15,51.0,01049
16,55.0,36101
17,43.0,22105
18,48.0,51179
19,62.0,48361
20,49.0,39047
21,51.0,25015
22,58.0,25025
23,48.0,12129
24,54.0,12127
25,54.0,40017
26,59.0,13115
27,54.0,32001
28,52.0,41013
29,71.0,09007
30,56.0,37057
31,58.0,42117
32,74.0,39017
33,59.0,13063
34,67.0,56013
35,47.0,13073
36,70.0,42043
37,51.0,18123
38,50.0,27095
39,9.0,39115
40,64.0,39133
41,19.0,56041
42,46.0,41005
43,50.0,05113
44,7.0,17185
45,51.0,18169
46,61.0,18003
47,84.0,49005
48,60.0,17113
49,46.0,23001
50,40.0,16055
51,99.0,32003
52,61.0,55063
53,49.0,21061
54,49.0,36091
55,53.0,48041
56,38.0,55053
57,34.0,53041
58,61.0,13089
59,61.0,24510
60,60.0,48245
61,67.0,08067
62,61.0,48027
63,45.0,05019
64,100.0,41035
65,49.0,36075
66,48.0,30087
67,51.0,26153
68,61.0,34007
69,56.0,17083
70,50.0,51085
71,71.0,48215
72,64.0,37109
73,54.0,12095
74,40.0,16041
75,51.0,37027
76,50.0,18173
77,62.0,42059
78,67.0,38013
79,51.0,37063
80,54.0,19085
81,6.0,51510
82,51.0,30049
83,76.0,49013
84,53.0,21193
85,55.0,41029
86,59.0,12011
87,45.0,48397
88,77.0,26163
89,58.0,37145
90,54.0,20195
91,52.0,05001
92,40.0,39145
93,54.0,48309
94,51.0,12099
95,58.0,47165
96,52.0,41051
97,66.0,36089
98,76.0,06067
99,52.0,06083
100,61.0,19147
101,67.0,24015
102,68.0,19045
103,49.0,06009
104,51.0,25001
105,72.0,18089
106,38.0,41001
107,49.0,21175
108,46.0,17049
109,54.0,47105
110,40.0,15003
111,58.0,18157
112,56.0,12086
113,25.0,08097
114,67.0,18091
115,67.0,18057
116,47.0,33009
117,46.0,18129
118,80.0,06111
119,122.0,06037
120,74.0,04027
121,49.0,12055
122,100.0,04021
123,48.0,12017
124,49.0,47041
125,64.0,18037
126,61.0,36031
127,36.0,08099
128,74.0,38057
129,77.0,55127
130,77.0,36103
131,43.0,31157
132,51.0,48367
133,52.0,06097
134,33.0,16019
135,73.0,40115
136,44.0,42033
137,50.0,26037
138,67.0,17115
139,63.0,27109
140,60.0,34039
141,58.0,01097
142,42.0,37131
143,6.0,37013
144,72.0,38015
145,54.0,37159
146,44.0,23029
147,33.0,41003
148,64.0,42063
149,59.0,48203
150,47.0,29019
151,133.0,08059
152,54.0,54011
153,48.0,36041
154,64.0,04017
155,48.0,56003
156,60.0,18005
157,49.0,47141
158,67.0,38101
159,58.0,25027
160,97.0,06031
161,84.0,06073
162,58.0,29037
163,48.0,36027
164,49.0,08101
165,59.0,37051
166,122.0,06061
167,48.0,17023
168,49.0,45015
169,55.0,05051
170,71.0,39155
171,81.0,16049
172,95.0,49011
173,59.0,19013
174,46.0,01125
175,64.0,10003
176,64.0,17161
177,50.0,18015
178,79.0,42101
179,54.0,36109
180,37.0,29093
181,55.0,36001
182,72.0,48029
183,105.0,08013
184,64.0,47089
185,49.0,40097
186,23.0,16013
187,107.0,08031
188,19.0,18051
189,72.0,11001
190,71.0,27171
191,74.0,55059
192,54.0,06075
193,37.0,08113
194,53.0,02020
195,67.0,26139
196,91.0,17031
197,74.0,49003
198,67.0,54051
199,74.0,24005
200,61.0,39087
201,54.0,54061
202,57.0,09011
203,23.0,39059
204,52.0,51760
205,52.0,06041
206,64.0,48381
207,51.0,48401
208,90.0,06043
209,58.0,41047
210,71.0,55079
211,64.0,27139
212,45.0,47099
213,57.0,16009
214,49.0,37031
215,48.0,12081
216,28.0,08043
217,58.0,40019
218,39.0,35055
219,55.0,28011
220,42.0,32023
221,54.0,22055
222,78.0,16069
223,50.0,06055
224,31.0,20181
225,50.0,17001
226,36.0,31025
227,50.0,56009
228,66.0,27005
229,52.0,55003
230,84.0,06089
231,24.0,55085
232,56.0,22087
233,58.0,47009
234,67.0,30031
235,51.0,45031
236,47.0,06053
237,38.0,02110
238,58.0,29021
239,59.0,18065
240,54.0,24013
241,60.0,42015
242,63.0,54029
243,67.0,26021
244,63.0,17163
245,50.0,42073
246,36.0,39067
247,54.0,37003
248,54.0,33005
249,15.0,48255
250,51.0,48257
251,206.0,04013
252,58.0,48251
253,66.0,41023
254,51.0,51113
255,51.0,12069
256,62.0,20091
257,50.0,24009
258,25.0,53031
259,50.0,29003
260,61.0,35043
261,52.0,41043
262,64.0,40147
263,45.0,41037
264,58.0,13139
265,51.0,55125
266,55.0,27007
267,61.0,24019
268,68.0,39023
269,57.0,48323
270,87.0,04019
271,58.0,50021
272,50.0,25007
273,71.0,16023
274,51.0,33007
275,65.0,48273
276,74.0,18127
277,58.0,12103
278,63.0,17065
279,54.0,08029
280,55.0,48037
281,83.0,49057
282,49.0,36045
283,71.0,08045
284,68.0,19113
285,57.0,06105
286,56.0,13215
287,58.0,39109
288,56.0,48375
289,54.0,45003
290,70.0,56037
291,65.0,55089
292,61.0,47163
293,74.0,55117
294,63.0,25013
295,97.0,06027
296,76.0,42011
297,62.0,27083
298,58.0,22047
299,47.0,51061
300,33.0,32005
301,58.0,18055
302,67.0,42085
303,67.0,32033
304,64.0,27049
305,58.0,37173
306,50.0,12101
307,44.0,36059
308,67.0,18163
309,20.0,29071
310,54.0,37011
311,51.0,54107
312,56.0,45063
313,61.0,24003
314,71.0,55039
315,74.0,55061
316,56.0,25003
317,74.0,08103
318,61.0,34023
319,60.0,25005
320,61.0,24021
321,67.0,06051
322,46.0,06109
323,91.0,35013
324,61.0,06095
325,6.0,48449
326,48.0,22099
327,48.0,01119
328,53.0,12117
329,53.0,28035
330,61.0,26065
331,64.0,20177
332,49.0,39041
333,67.0,37067
334,46.0,32510
335,49.0,13261
336,54.0,45007
337,27.0,56007
338,43.0,30093
339,45.0,28161
340,61.0,04003
341,140.0,06071
342,67.0,08083
343,65.0,31055
344,56.0,29039
345,62.0,13059
346,54.0,16085
347,71.0,40071
348,64.0,06013
349,55.0,51087
350,61.0,36119
351,54.0,54033
352,46.0,37077
353,65.0,09009
354,52.0,10005
355,54.0,26105
356,77.0,55105
357,49.0,53013
358,89.0,41039
359,49.0,17085
360,29.0,30013
361,50.0,30029
362,61.0,21067
363,51.0,21091
364,44.0,46013
365,46.0,48469
366,71.0,26147
367,42.0,53037
368,48.0,54093
369,63.0,21059
370,56.0,29097
371,29.0,41061
372,58.0,13151
373,67.0,42021
374,46.0,47107
375,97.0,08001
376,58.0,42069
377,54.0,40037
378,71.0,09013
379,59.0,12031
380,47.0,21113
381,71.0,40075
382,48.0,37033
383,51.0,39057
384,49.0,01003
385,51.0,42131
386,50.0,37107
387,65.0,18167
388,58.0,18039
389,48.0,48303
390,52.0,12085
391,50.0,13085
392,8.0,51143
393,42.0,02068
394,68.0,20209
395,54.0,26157
396,68.0,39095
397,49.0,18043
398,58.0,37075
399,54.0,51071
400,58.0,53061
401,93.0,35015
402,50.0,51197
403,66.0,13303
404,66.0,53077
405,63.0,05143
406,67.0,55035
407,67.0,04005
408,60.0,20191
409,51.0,39007
410,58.0,48167
411,64.0,39135
412,78.0,48201
413,50.0,25017
414,60.0,26161
415,58.0,44009
416,69.0,53047
417,51.0,53063
418,53.0,55041
419,58.0,34017
420,74.0,39151
421,50.0,51153
422,61.0,42029
423,47.0,47145
424,46.0,53009
425,57.0,53065
426,56.0,19177
427,58.0,12033
428,75.0,48439
429,67.0,24033
430,71.0,40085
431,65.0,39099
432,66.0,17089
433,49.0,06017
434,43.0,41019
435,49.0,42089
436,48.0,05101
437,44.0,22077
438,64.0,31067
439,69.0,13095
440,47.0,16017
441,50.0,24027
442,115.0,49035
443,60.0,09003
444,51.0,09015
445,64.0,36085
446,68.0,45045
447,62.0,06113
448,44.0,46071
449,50.0,51036
450,58.0,18083
451,27.0,20057
452,6.0,38105
453,77.0,38017
454,63.0,19103
455,59.0,20133
456,46.0,21089
457,67.0,49017
458,97.0,02090
459,40.0,21101
460,47.0,30027
461,53.0,24023
462,49.0,46033
463,58.0,33013
464,71.0,42133
465,61.0,13097
466,71.0,38007
467,70.0,56005
468,42.0,22093
469,49.0,01117
470,51.0,26019
471,64.0,36029
472,61.0,24031
473,54.0,51013
474,17.0,51035
475,54.0,29183
476,56.0,06069
477,39.0,41009
478,53.0,45041
479,67.0,49053
480,49.0,42047
481,49.0,18013
482,68.0,18019
483,64.0,13135
484,48.0,36079
485,47.0,30089
486,49.0,47125
487,43.0,53051
488,51.0,21029
489,70.0,30053
490,59.0,27021
491,39.0,08007
492,71.0,55087
493,50.0,29186
494,57.0,19137
495,56.0,05067
496,38.0,22079
497,67.0,37087
498,57.0,27037
499,58.0,41025
500,49.0,21015
501,49.0,21229
502,50.0,56025
503,54.0,48139
504,48.0,12035
505,50.0,23031
506,61.0,46029
507,51.0,13231
508,49.0,34025
509,46.0,27075
510,40.0,06023
